Script,Type,Message,Item
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/postgresql
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/rediscache
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/resources
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/servicebus
extract-scrapings, INFO, Files processed, 11800
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/sql
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/storage
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/storage_legacy
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/storage_preview
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/trafficmanager
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/java/azure/virtualmachines
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/activedirectory
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/advisor
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/analysis-services
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/appservice
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/authorization
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/automation
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/backup
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/batchai
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/billing
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/cdn
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/cognitive-services
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/commerce
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/container-registry
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/container-service
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/cosmos-db
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/data-lake-analytics
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/data-lake-store
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/devtest-labs
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/dns
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/event-hub
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/eventgrid
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/hdinsight
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/intune
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/iot-hub
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/key-vault
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/logic-apps
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/machine-learning
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/media-services
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/mixed-reality
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/monitor
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/mysql
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/notification-hubs
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/operational-insights
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/postgresql
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/powerbi-embedded
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/redis-cache
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/relay
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/resources
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/scheduler
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/search
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/server-management
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/service-bus
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/service-fabric
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/service-map
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/site-recovery
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/speech-service
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/sql
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/storage
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/traffic-manager
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/virtual-network
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/javascript/azure/virtualmachines
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/authorization
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/azure.mgmt.resource
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/batch
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/batchai
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/billing
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/cdn
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/cognitive-services
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/commerce
extract-scrapings, INFO, Files processed, 11900
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/consumption
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/container-registry
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/containerinstance
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/cosmosdb
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/data-lake-analytics
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/data-lake-store
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/datafactory
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/devtest-labs
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/dns
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/event-grid
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/event-hub
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/graph-rbac
